model,cfi,tli,rmsea,bic
big_five,0.3542460020325511,0.31001627614436966,0.10011738956638912,758666.5277058374
acquiescence,0.5710031303217159,0.515047016885418,0.08393438485565434,745783.1978630451
network,0.9855247479180782,0.9739845699910161,0.01944041811915829,722851.0881858285
