model,cfi,tli,rmsea,bic
big_five,0.6180308387334199,0.6023026967989137,0.07516439944087613,141606.04967659706
bifactor,0.7998859656644727,0.7714826833716882,0.056976455281704474,138153.71914117073
higher_order,0.73287499977324,0.7193998513938487,0.06313640030648308,138959.1856101078
acquiescence,NA,NA,NA,NA
network,0.945081821891309,0.9269134020658774,0.03222216688804516,136395.246254388
