country,n_train,n_test,cfi_network,cfi_big_five,cfi_acquiescence,tli_network,tli_big_five,tli_acquiescence,rmsea_network,rmsea_big_five,rmsea_acquiescence,bic_network,bic_big_five,bic_acquiescence
AE,861,861,0.9449723123764513,0.7194692617965959,0.7562794391048722,0.9255972214803012,0.7050213267818283,0.7435071416696464,0.032314612255353155,0.06434275896293513,0.0599987232503584,125782.54405611678,127291.40098817319,126752.26023443328
AR,1220,1219,0.9490986863351153,0.716123617817817,0.7423450280618265,0.9307945513435253,0.7015033749586488,0.7288424908726265,0.029212622439636574,0.0606694577270411,0.05782441110171277,179041.55343266763,181364.26498347445,180887.53810779512
AT,859,859,0.953318671746393,0.7556626990970718,0.7645849371134456,0.9399951446897495,0.7430788037715992,0.7522478934398374,0.03220886708233995,0.06664724777252991,0.06544717873670454,118181.4668210074,120219.3230111019,120062.76045175554
AU,15204,15203,0.9949926624974843,0.7495421706596066,0.7636808394559151,0.9896907757301147,0.7366430549854233,0.7512964160940688,0.013286655696677413,0.0671544929552444,0.06525949493795814,2053789.6267673715,2126666.581486982,2122166.2206709334
BE,1237,1237,0.9683298825811865,0.7509887125437351,0.7640858942419071,0.9570841882322494,0.7381640968807515,0.7517226979779521,0.026979855543453075,0.06664162077153139,0.06489324041848493,168130.2321357692,171762.88663422686,171432.38271483494
BR,2384,2383,0.9822100865062852,0.7462206913933838,0.7584829646574738,0.9732605594726371,0.7331505124093519,0.7458261440768087,0.020736141251869417,0.06550658636804838,0.06393184244244483,339925.5800045649,348243.0016953179,347674.15938858484
CA,19176,19177,0.9979057803106157,0.746453831623639,0.7629532567081223,0.9941958843450324,0.7333956598617664,0.7505307040098366,0.009920830367928643,0.06723781660075376,0.06504120001007631,2616846.187486577,2710114.907688053,2703551.042702283
CH,922,921,0.9645698890751213,0.7509177418342443,0.7659811245335933,0.9523579737837801,0.7380894710274244,0.7537172487574328,0.02789645608002722,0.06540792867100802,0.06342652464346424,126620.81105762479,128737.28278119529,128465.50402143452
CL,858,857,0.9452657370626864,0.7353299998746259,0.7589660378993193,0.9288976966084739,0.7216989269067955,0.7463345330125997,0.02972962519946369,0.05881729382554703,0.05615368641713234,122890.92740274053,124015.66372276895,123712.96573118128
CO,1371,1371,0.9531802989529973,0.7166555919732205,0.7620138242071578,0.9349726374347184,0.702062746924631,0.749542040080557,0.02682397235806833,0.05741659350579637,0.05264321897070821,199591.7360200695,201864.79562608496,201028.11184629382
DE,5449,5449,0.9915109099722403,0.7521677749255219,0.7622802812557262,0.9854353847562947,0.7394038835053771,0.7498224609435263,0.015736429364253873,0.0665641908726007,0.06522000768415252,737805.2981046991,761109.6962479433,759969.6081651745
DK,1674,1675,0.969184347485736,0.7658189854535669,0.7771137292607824,0.9577749727852647,0.7537581606700595,0.7654332631825245,0.02618043300275145,0.06322266184239965,0.061705669209972655,231987.8001189788,236649.31056017763,236279.54088471745
ES,1862,1862,0.9789599172408022,0.7370325698035811,0.7472392796199865,0.9689842341997384,0.7234891828406754,0.7339932281224084,0.021479976060571004,0.06413551675670921,0.06290553812945292,259356.62123655042,265008.24492682423,264668.4471314699
FI,1706,1706,0.9797884294092715,0.7372891489997755,0.7523559557303692,0.9704191469848955,0.7237589764160728,0.7393780461939022,0.023503424208490963,0.07182404810606129,0.06976398656276492,234373.9951132314,241353.0071343268,240771.43470266744
