model,cfi,tli,rmsea,bic
big_five,0.6125954624213952,0.5966435108740409,0.07562228667281244,152439.28963883186
bifactor,0.7886833657214992,0.7586900369851959,0.05849152007111426,148902.29232968806
higher_order,NA,NA,NA,NA
acquiescence,0.8193191000084891,0.7988646585000161,0.053401010471091394,147896.37555611544
network,0.9241751754613894,0.9033069600624346,0.03702566690362638,146870.49518718294
