17,16,2,4,7,2,15,11,11,1,4,22,3,2,1,0,1,1,0,1,3,28,12,6,4,8,1,8,1,2,29,0,20,39,38,39,36,15,22,1,6,1,19,0,4,2,4,18,1,20
1,11,2,13,1,1,0,10,1,6,3,5,37,1,5,2,0,0,1,1,5,8,7,4,0,3,0,19,24,12,39,20,0,20,19,32,38,8,15,39,24,10,30,2,30,16,35,4,30,26
2,4,10,15,2,11,3,1,1,8,32,1,25,7,38,32,37,39,15,37,1,4,39,10,4,14,0,7,0,10,39,39,20,0,38,39,33,39,35,28,2,16,30,1,6,7,18,9,4,3
5,3,26,0,25,5,14,0,4,14,1,4,2,20,8,2,0,2,3,19,8,0,17,0,2,5,0,13,9,20,39,38,19,38,0,38,33,39,39,37,4,11,5,20,4,1,2,12,7,1
3,7,1,0,2,3,3,1,4,6,5,2,2,5,22,24,14,10,2,3,2,1,14,0,2,20,0,4,1,0,37,39,32,39,38,0,37,37,36,7,1,7,19,2,4,7,2,9,0,19
6,6,0,12,2,4,5,15,3,12,18,11,36,2,4,2,0,2,22,0,3,1,7,4,7,0,5,1,4,3,39,36,38,33,33,37,0,9,39,38,7,7,7,8,1,7,6,6,16,8
3,0,8,18,3,19,3,1,5,12,3,11,3,1,25,2,22,36,12,36,21,1,38,0,15,0,21,14,5,10,39,15,8,39,39,37,9,0,37,36,7,10,5,4,0,9,8,8,3,3
3,1,16,0,11,4,1,3,1,0,8,22,14,4,2,6,3,1,7,10,2,1,17,5,2,8,1,12,26,6,39,22,15,35,39,36,39,37,0,39,4,16,16,27,0,6,3,2,6,7
4,4,9,1,10,13,3,7,9,5,2,4,4,3,4,0,3,2,3,3,3,3,6,4,8,1,1,10,5,36,39,1,39,28,37,7,38,36,39,0,17,4,3,4,39,3,37,13,26,30
1,6,1,2,10,39,1,3,11,4,2,2,1,5,16,6,6,6,1,2,17,4,4,0,2,9,0,1,3,5,28,6,24,2,4,1,7,7,4,17,0,39,34,9,39,19,39,39,26,31
7,3,3,1,5,33,1,0,1,1,28,3,17,6,28,32,18,18,20,2,21,2,3,2,0,18,0,3,1,3,4,1,10,16,11,7,7,10,16,4,39,0,9,39,33,37,39,35,32,37
4,1,9,15,1,2,1,2,5,3,5,8,25,0,7,5,22,12,5,15,2,9,12,8,5,9,3,1,22,9,4,19,30,30,5,19,7,5,16,3,34,9,0,30,26,39,6,16,38,39
9,4,14,2,1,26,5,4,2,1,0,0,2,21,5,11,4,4,18,4,16,5,14,3,27,6,26,4,1,5,7,0,2,1,20,2,8,4,27,4,9,39,30,0,1,37,4,32,39,39
27,3,0,1,21,30,9,19,37,2,14,15,18,8,4,6,1,2,1,10,6,1,13,13,17,4,11,2,0,24,27,4,30,6,4,4,1,0,0,39,39,33,26,1,0,36,39,33,13,39
0,1,5,1,1,37,1,5,1,0,1,3,2,3,4,11,1,2,7,5,5,2,4,1,3,0,20,2,16,12,0,2,16,7,1,7,7,9,6,3,19,37,39,37,36,0,6,1,6,39
0,1,8,2,3,23,1,7,24,2,30,21,7,1,22,17,2,6,4,7,1,4,2,1,3,3,7,8,5,23,38,4,35,18,2,2,6,8,3,37,39,39,6,4,39,6,0,32,10,30
2,3,21,1,1,16,4,3,21,1,0,8,2,5,1,0,3,19,12,26,2,2,34,13,7,24,14,2,4,7,4,18,4,9,12,9,6,8,2,13,39,35,16,32,33,1,32,0,38,36
17,6,18,28,3,6,1,14,0,25,3,2,39,11,5,2,0,3,5,36,16,19,6,25,2,6,0,12,31,7,2,1,30,4,7,0,16,3,6,26,26,32,38,39,13,6,10,38,0,38
18,1,3,0,14,38,10,5,23,0,2,5,4,1,0,4,3,0,0,5,2,14,7,3,3,0,0,1,6,22,2,20,26,3,1,19,8,3,7,30,31,37,39,39,39,39,30,36,38,0
